PMC6011374.nxml.gz-11,"[['291'], ['296'], 'aimed', 'aimed', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_2']"
PMC6011374.nxml.gz-110,"[['10590'], ['10601'], 'to evaluate', 'to_evaluate', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_57']"
PMC6011374.nxml.gz-12,"[['404'], ['418'], 'to investigate', 'to_investigate', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_2']"
PMC6011374.nxml.gz-142,"[['18792'], ['18800'], 'assessed', 'assessed', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_80']"
PMC6011374.nxml.gz-160,"[['22316'], ['22325'], 'to assess', 'to_assess', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_87']"
PMC6011374.nxml.gz-232,"[['26148'], ['26158'], 'this study', 'this_study', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_107']"
PMC6011374.nxml.gz-277,"[['28559'], ['28563'], 'here', 'here', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_119']"
PMC6011374.nxml.gz-89,"[['5596'], ['5601'], 'aimed', 'aimed', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_29']"
PMC6011374.nxml.gz-90,"[['5602'], ['5616'], 'to investigate', 'to_investigate', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_29']"
PMC6011374.nxml.gz-93,"[['5766'], ['5771'], 'aimed', 'aimed', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_30']"
PMC6011374.nxml.gz-94,"[['5772'], ['5782'], 'to examine', 'to_examine', 'QUESTION_ANSWERED_BY_THIS_WORK', 'PMC6011374.nxml.gz_30']"
