MODEL	NUM DISCONTINUITY ERRORS
1_binary_combined_biobert_model_local_PMC2885310.nxml.gz	2
1_binary_combined_biobert_model_local_PMC3279448.nxml.gz	2
1_binary_combined_biobert_model_local_PMC3342123.nxml.gz	1
1_binary_combined_biobert_model_local_PMC3400371.nxml.gz	1
1_binary_combined_biobert_model_local_PMC3933411.nxml.gz	3
1_binary_combined_biobert_model_local_PMC4231606.nxml.gz	2
1_binary_combined_biobert_model_local_PMC4311629.nxml.gz	1
1_binary_combined_biobert_model_local_PMC4897523.nxml.gz	1
1_binary_combined_biobert_model_local_PMC5226708.nxml.gz	4
1_binary_combined_biobert_model_local_PMC5546866.nxml.gz	1
1_binary_combined_biobert_model_local_PMC5812027.nxml.gz	1
1_binary_combined_biobert_model_local_PMC6011374.nxml.gz	1
